Storage Location,Storage Type,Storage Bin,Material,Material Description,Available stock,Storage Unit,Volume,Volume unit,Weight,Weight unit,Plant,Stock Category,Pick quantity,Storage Unit Type,Quant,Duration,GR Date
0001,916,8200141679,CS05103ROS,RAVA ROSE,3,,21.294,FT3,48.840,KG,3510,,0,PAL,1001287397,1,9/25/2020
0001,916,8200141679,CS09300CVR,EXEC CAVIAR W/SLIP COVER&2ND INSERT,2,,15.396,FT3,33.900,KG,3510,,0,PAL,1001287398,1,5/14/2020
0001,916,8200141679,HC-10-005,ZAAZ CARBON,2,,11.546,FT3,30.620,KG,3510,,0,PAL,1001287399,1,7/24/2020
0001,916,8200141679,ST13410CVR,MIXX NEXT CAVIAR W/RING ADAPTER,2,,12.772,FT3,37.080,KG,3510,,0,PAL,1001287400,1,7/31/2020
0001,916,8200141679,ST13411GRN,MIXX NEXT GRANITE W/RING ADAPTER,3,,15.468,FT3,56.340,KG,3510,,0,PAL,1001287401,1,7/31/2020
0001,916,8200141680,CS05103GRN,RAVA GRANITE,10,,70.980,FT3,162.800,KG,3510,,0,PAL,1001287402,1,10/2/2020
0001,916,8200141681,CF03501GRN,PIPA GRANITE W/BASE,1,,6.039,FT3,14.200,KG,3510,,0,PAL,1001287407,1,7/17/2020
0001,916,8200141681,CS05103CVR,RAVA CAVIAR,6,,42.588,FT3,97.680,KG,3510,,0,PAL,1001287405,1,9/24/2020
0001,916,8200141681,CS05103FRT,RAVA FROST,1,,7.098,FT3,16.280,KG,3510,,0,PAL,1001287404,1,9/25/2020
0001,916,8200141681,CS05103GRN,RAVA GRANITE,2,,14.196,FT3,32.560,KG,3510,,0,PAL,1001287406,1,10/2/2020
0001,916,8200141681,IF08600ACS,RELX,1,,2.738,FT3,9.800,KG,3510,,0,PAL,1001287408,1,6/17/2020
0001,916,8200141817,CS05103GRN,RAVA GRANITE,2,,14.196,FT3,32.560,KG,3510,,0,PAL,1001287421,1,10/2/2020
0001,916,8200141818,CS05103CVR,RAVA CAVIAR,2,,14.196,FT3,32.560,KG,3510,,0,PAL,1001287437,1,9/25/2020
0001,916,8200141818,CS05103FRT,RAVA FROST,4,,28.392,FT3,65.120,KG,3510,,0,PAL,1001287434,1,9/25/2020
0001,916,8200141818,CS05103GRN,RAVA GRANITE,8,,56.784,FT3,130.240,KG,3510,,0,PAL,1001287435,1,10/2/2020
0001,916,8200141818,CS05103LAK,RAVA LAKE,8,,56.784,FT3,130.240,KG,3510,,0,PAL,1001287433,1,9/25/2020
0001,916,8200141818,CS05103ROS,RAVA ROSE,4,,28.392,FT3,65.120,KG,3510,,0,PAL,1001287436,1,9/25/2020
0001,916,8200141863,AD-08-001,UPPA ADAPTER,1,,0.603,FT3,0.278,KG,3510,,0,PAL,1001287422,1,7/17/2020
0001,916,8200141863,AD09100ACS,BOB ADAPTER,4,,0.888,FT3,4.080,KG,3510,,0,PAL,1001287423,1,8/6/2020
0001,916,8200141863,BC13900NGT,CUDL 2020 NIGHT,2,,1.326,FT3,4.860,KG,3510,,0,PAL,1001287424,1,6/4/2020
0001,916,8200141863,BC13900OLV,CUDL 2020 OLIVE,2,,1.222,FT3,4.860,KG,3510,,0,PAL,1001287425,1,3/31/2020
0001,916,8200141863,BC13900SLT,CUDL 2020 SLATE,2,,1.222,FT3,4.860,KG,3510,,0,PAL,1001287426,1,7/24/2020
0001,916,8200141863,CF08501GRN,PIPA LITE LX GRANITE W/BASE&2ND INSERT,1,,5.850,FT3,13.840,KG,3510,,0,PAL,1001287427,1,7/1/2020
0001,916,8200141863,CS09300CVR,EXEC CAVIAR W/SLIP COVER&2ND INSERT,4,,30.792,FT3,67.800,KG,3510,,0,PAL,1001287428,1,5/7/2020
0001,916,8200141863,CS09300GRN,EXEC GRANITE W/SLIP COVER&2ND INSERT,1,,7.698,FT3,16.950,KG,3510,,0,PAL,1001287429,1,5/6/2020
0001,916,8200141863,IF08600ACS,RELX,4,,10.952,FT3,39.200,KG,3510,,0,PAL,1001287430,1,6/17/2020
0001,916,8200141863,ST13411GRN,MIXX NEXT GRANITE W/RING ADAPTER,1,,5.156,FT3,18.780,KG,3510,,0,PAL,1001287431,1,7/31/2020
0001,916,8200141865,AC08101FRT,DEMI GROW SIBLING SEAT FROST W/RC,1,,3.542,FT3,6.420,KG,3510,,0,PAL,1001287444,1,8/16/2018
0001,916,8200141865,AD-08-001,UPPA ADAPTER,4,,2.412,FT3,1.112,KG,3510,,0,PAL,1001287445,1,7/17/2020
0001,916,8200141865,BC13900SLT,CUDL 2020 SLATE,1,,0.611,FT3,2.430,KG,3510,,0,PAL,1001287446,1,7/24/2020
0001,916,8200141865,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,4,,22.460,FT3,55.360,KG,3510,,0,PAL,1001287447,1,8/6/2020
0001,916,8200141865,CF08501FRT,PIPA LITE LX FROST W/BASE&2ND INSERT,1,,6.039,FT3,13.840,KG,3510,,0,PAL,1001287448,1,10/2/2019
0001,916,8200141865,CF08501GRN,PIPA LITE LX GRANITE W/BASE&2ND INSERT,3,,17.550,FT3,41.520,KG,3510,,0,PAL,1001287449,1,7/1/2020
0001,916,8200141865,CF08501OXF,PIPA LITE LX OXFORD W/BASE&2ND INSERT,1,,6.039,FT3,13.840,KG,3510,,0,PAL,1001287450,1,9/11/2020
0001,916,8200141865,CF12508600CVR,PIPA RX CAVIAR W/BASE,1,,6.039,FT3,15.100,KG,3510,,0,PAL,1001287451,1,6/11/2020
0001,916,8200141865,IF-02-001,PIPA BASE,2,,3.586,FT3,15.200,KG,3510,,0,PAL,1001287442,1,7/31/2020
0001,916,8200141865,SE10302BLU,LEAF GROW BLUSH W/TY,1,,4.297,FT3,10.120,KG,3510,,0,PAL,1001287443,1,5/7/2020
0001,916,8200141865,ST08101FRT,DEMI GROW FROST W/RC&AD,2,,15.702,FT3,41.600,KG,3510,,0,PAL,1001287438,1,4/24/2020
0001,916,8200141865,ST10502BIR,MIXX 2019 BIRCH W/RING ADAPTER,1,,5.826,FT3,18.150,KG,3510,,0,PAL,1001287439,1,7/23/2020
0001,916,8200141865,ST10502CVR,MIXX 2019 CAVIAR W/RING ADAPTER,3,,17.478,FT3,54.450,KG,3510,,0,PAL,1001287440,1,7/10/2020
0001,916,8200141865,ST10502GRN,MIXX 2019 GRANITE W/RING ADAPTER,2,,11.652,FT3,36.300,KG,3510,,0,PAL,1001287441,1,7/10/2020
0001,916,8200141865,ST13410CVR,MIXX NEXT CAVIAR W/RING ADAPTER,1,,6.386,FT3,18.540,KG,3510,,0,PAL,1001287452,1,7/31/2020
0001,916,8200141892,CF08501BIR,PIPA LITE LX BIRCH W/BASE&2ND INSERT,2,,11.700,FT3,27.680,KG,3510,,0,PAL,1001287462,1,8/13/2020
0001,916,8200141892,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,3,,16.845,FT3,41.520,KG,3510,,0,PAL,1001287463,1,8/6/2020
0001,916,8200141892,CF08501FRT,PIPA LITE LX FROST W/BASE&2ND INSERT,2,,12.078,FT3,27.680,KG,3510,,0,PAL,1001287464,1,10/2/2019
0001,916,8200141892,CF08501GRN,PIPA LITE LX GRANITE W/BASE&2ND INSERT,2,,11.700,FT3,27.680,KG,3510,,0,PAL,1001287465,1,7/1/2020
0001,916,8200141892,CF08508600GRN,PIPA LITE R GRANITE W/BASE,1,,6.039,FT3,14.400,KG,3510,,0,PAL,1001287466,1,5/13/2020
0001,916,8200141892,CS05103CVR,RAVA CAVIAR,10,,70.980,FT3,162.800,KG,3510,,0,PAL,1001287455,1,9/21/2020
0001,916,8200141892,CS05103FRT,RAVA FROST,3,,21.294,FT3,48.840,KG,3510,,0,PAL,1001287457,1,9/25/2020
0001,916,8200141892,CS05103GRN,RAVA GRANITE,10,,70.980,FT3,162.800,KG,3510,,0,PAL,1001287454,1,10/2/2020
0001,916,8200141892,CS05103LAK,RAVA LAKE,1,,7.098,FT3,16.280,KG,3510,,0,PAL,1001287456,1,9/25/2020
0001,916,8200141892,CS05103ROS,RAVA ROSE,3,,21.294,FT3,48.840,KG,3510,,0,PAL,1001287461,1,9/25/2020
0001,916,8200141892,HC-10-005,ZAAZ CARBON,1,,5.773,FT3,15.310,KG,3510,,0,PAL,1001287458,1,7/24/2020
0001,916,8200141892,HC-10-009,ZAAZ ALMOND,1,,5.773,FT3,15.310,KG,3510,,0,PAL,1001287459,1,9/14/2018
0001,916,8200141892,ST13410CVR,MIXX NEXT CAVIAR W/RING ADAPTER,2,,12.772,FT3,37.080,KG,3510,,0,PAL,1001287467,1,7/31/2020
0001,916,8200141892,ST13411GRN,MIXX NEXT GRANITE W/RING ADAPTER,1,,5.156,FT3,18.780,KG,3510,,0,PAL,1001287468,1,7/31/2020
0001,916,8200141892,ST13412TIM,MIXX NEXT TIMBER W/RING ADAPTER,1,,5.156,FT3,18.880,KG,3510,,0,PAL,1001287469,1,7/22/2020
0001,916,8200141892,TB-20-001,WHEELED TRAVEL BAG,2,,6.222,FT3,14.480,KG,3510,,0,PAL,1001287460,1,4/24/2020
0001,916,8200142032,AC08101CVR,DEMI GROW SIBLING SEAT CAVIAR W/RC,190,,672.980,FT3,"1,219.800",KG,3510,,0,PAL,1001287510,1,8/13/2018
0001,916,8200142032,ST08101CVR,DEMI GROW CAVIAR W/RC&AD,190,,"1,535.580",FT3,"3,952",KG,3510,,0,PAL,1001287511,1,7/22/2020
0001,916,8200142034,AC08101ASP,DEMI GROW SIBLING SEAT ASPEN W/RC,201,,795.558,FT3,"1,290.420",KG,3510,,0,PAL,1001287515,1,8/16/2018
0001,916,8200142034,ST08101ASP,DEMI GROW ASPEN W/RC&AD,201,,"1,624.482",FT3,"4,180.800",KG,3510,,0,PAL,1001287514,1,5/12/2020
0001,916,8200142044,CF08500CVR,PIPA LITE CAVIAR W/BASE&2ND INSERT,1,,5.542,FT3,13.450,KG,3510,,0,PAL,1001287475,1,8/20/2020
0001,916,8200142044,CF08500GRN,PIPA LITE GRANITE W/BASE&2ND INSERT,1,,6.039,FT3,13.450,KG,3510,,0,PAL,1001287476,1,6/9/2020
0001,916,8200142044,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,2,,11.230,FT3,27.680,KG,3510,,0,PAL,1001287477,1,8/6/2020
0001,916,8200142044,CF08508600GRN,PIPA LITE R GRANITE W/BASE,1,,6.039,FT3,14.400,KG,3510,,0,PAL,1001287478,1,5/13/2020
0001,916,8200142044,CF12508600CVR,PIPA RX CAVIAR W/BASE,2,,12.078,FT3,30.200,KG,3510,,0,PAL,1001287479,1,6/11/2020
0001,916,8200142044,CF12508600GRN,PIPA RX GRANITE W/BASE,1,,6.039,FT3,15.100,KG,3510,,0,PAL,1001287480,1,7/21/2020
0001,916,8200142044,CS05103CVR,RAVA CAVIAR,3,,21.294,FT3,48.840,KG,3510,,0,PAL,1001287485,1,9/25/2020
0001,916,8200142044,CS05103LAK,RAVA LAKE,1,,7.098,FT3,16.280,KG,3510,,0,PAL,1001287471,1,9/25/2020
0001,916,8200142044,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,2,,0.212,FT3,2,KG,3510,,0,PAL,1001287474,1,7/31/2020
0001,916,8200142044,IF-02-001,PIPA BASE,2,,3.586,FT3,15.200,KG,3510,,0,PAL,1001287473,1,7/31/2020
0001,916,8200142044,IF08600ACS,RELX,2,,5.476,FT3,19.600,KG,3510,,0,PAL,1001287484,1,6/17/2020
0001,916,8200142044,ST10502CVR,MIXX 2019 CAVIAR W/RING ADAPTER,1,,5.826,FT3,18.150,KG,3510,,0,PAL,1001287472,1,7/10/2020
0001,916,8200142044,ST12009CVR,TRIV CAVIAR W/AD&RC,2,,11.088,FT3,31,KG,3510,,0,PAL,1001287470,1,10/7/2020
0001,916,8200142044,ST13410CVR,MIXX NEXT CAVIAR W/RING ADAPTER,1,,6.386,FT3,18.540,KG,3510,,0,PAL,1001287481,1,7/31/2020
0001,916,8200142044,ST13411GRN,MIXX NEXT GRANITE W/RING ADAPTER,2,,10.312,FT3,37.560,KG,3510,,0,PAL,1001287482,1,7/31/2020
0001,916,8200142044,ST13412TIM,MIXX NEXT TIMBER W/RING ADAPTER,2,,10.312,FT3,37.760,KG,3510,,0,PAL,1001287483,1,7/22/2020
0001,916,8200142050,AC08101FRT,DEMI GROW SIBLING SEAT FROST W/RC,194,,687.148,FT3,"1,245.480",KG,3510,,0,PAL,1001287518,1,8/16/2018
0001,916,8200142050,ST08101FRT,DEMI GROW FROST W/RC&AD,194,,"1,523.094",FT3,"4,035.200",KG,3510,,0,PAL,1001287517,1,7/24/2020
0001,916,8200142051,AC08101FRT,DEMI GROW SIBLING SEAT FROST W/RC,195,,690.690,FT3,"1,251.900",KG,3510,,0,PAL,1001287522,1,8/16/2018
0001,916,8200142051,ST08101FRT,DEMI GROW FROST W/RC&AD,195,,"1,530.945",FT3,"4,056",KG,3510,,0,PAL,1001287521,1,7/22/2020
0001,916,8400204881,CS05103GRN,RAVA GRANITE,1,,7.098,FT3,16.280,KG,3510,,0,PAL,1000720780,483,5/21/2019
0001,916,8400431271,CF03501CVR,PIPA CAVIAR W/BASE,1,,6.039,FT3,14.200,KG,3510,,0,PAL,1001284520,3,7/28/2020
0001,916,8400431271,CS05103CVR,RAVA CAVIAR,1,,7.098,FT3,16.280,KG,3510,,0,PAL,1001284521,3,9/25/2020
0001,916,8400431271,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,5,,0.530,FT3,5,KG,3510,,0,PAL,1001284522,3,7/31/2020
0001,916,8400431271,TC04512GRN,SENA AIRE GRANITE W/SHEET,1,,3.708,FT3,14.720,KG,3510,,0,PAL,1001284523,3,7/15/2020
0001,916,8400431283,CF03501CVR,PIPA CAVIAR W/BASE,1,,6.039,FT3,14.200,KG,3510,,0,PAL,1001284524,3,7/28/2020
0001,916,8400431283,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,1,,5.615,FT3,13.840,KG,3510,,0,PAL,1001284525,3,8/20/2020
0001,916,8400431283,CS05103CVR,RAVA CAVIAR,1,,7.098,FT3,16.280,KG,3510,,0,PAL,1001284526,3,9/25/2020
0001,916,8400431283,TC04512GRN,SENA AIRE GRANITE W/SHEET,1,,3.708,FT3,14.720,KG,3510,,0,PAL,1001284527,3,7/15/2020
0001,916,8400431284,CF03501CVR,PIPA CAVIAR W/BASE,1,,6.039,FT3,14.200,KG,3510,,0,PAL,1001284528,3,7/28/2020
0001,916,8400431284,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,1,,5.615,FT3,13.840,KG,3510,,0,PAL,1001284529,3,8/20/2020
0001,916,8400431284,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,2,,0.212,FT3,2,KG,3510,,0,PAL,1001284530,3,7/31/2020
0001,916,8400431284,ST08101CVR,DEMI GROW CAVIAR W/RC&AD,1,,8.082,FT3,20.800,KG,3510,,0,PAL,1001284531,3,7/22/2020
0001,916,8400431284,ST13410CVR,MIXX NEXT CAVIAR W/RING ADAPTER,1,,6.386,FT3,18.540,KG,3510,,0,PAL,1001284532,3,7/31/2020
0001,916,8400431300,CF03501CVR,PIPA CAVIAR W/BASE,2,,12.078,FT3,28.400,KG,3510,,0,PAL,1001284533,3,7/28/2020
0001,916,8400431300,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,1,,5.615,FT3,13.840,KG,3510,,0,PAL,1001284534,3,8/20/2020
0001,916,8400431300,CS05103CVR,RAVA CAVIAR,1,,7.098,FT3,16.280,KG,3510,,0,PAL,1001284535,3,9/25/2020
0001,916,8400431300,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,2,,0.212,FT3,2,KG,3510,,0,PAL,1001284536,3,7/31/2020
0001,916,8400431300,SE10302IRN,LEAF GROW IRON W/TY,1,,4.297,FT3,10.120,KG,3510,,0,PAL,1001284537,3,7/10/2020
0001,916,8400431300,SY-01-001,MIXX SERIES CHILD TRAY,1,,0.225,FT3,0.036,KG,3510,,0,PAL,1001284538,3,7/31/2020
0001,916,8400431303,CF03501CVR,PIPA CAVIAR W/BASE,5,,30.195,FT3,71,KG,3510,,0,PAL,1001284539,3,7/28/2020
0001,916,8400431303,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,1,,5.615,FT3,13.840,KG,3510,,0,PAL,1001284540,3,8/20/2020
0001,916,8400431303,CS05103CVR,RAVA CAVIAR,8,,56.784,FT3,130.240,KG,3510,,0,PAL,1001284541,3,9/25/2020
0001,916,8400431303,ST08101CVR,DEMI GROW CAVIAR W/RC&AD,1,,8.082,FT3,20.800,KG,3510,,0,PAL,1001284542,3,7/22/2020
0001,916,8400431303,ST13410CVR,MIXX NEXT CAVIAR W/RING ADAPTER,1,,6.386,FT3,18.540,KG,3510,,0,PAL,1001284543,3,7/31/2020
0001,916,8400431312,CF03501CVR,PIPA CAVIAR W/BASE,2,,12.078,FT3,28.400,KG,3510,,0,PAL,1001284544,3,7/28/2020
0001,916,8400431312,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,1,,5.615,FT3,13.840,KG,3510,,0,PAL,1001284545,3,8/20/2020
0001,916,8400431312,CS05103CVR,RAVA CAVIAR,4,,28.392,FT3,65.120,KG,3510,,0,PAL,1001284546,3,9/25/2020
0001,916,8400431312,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,1,,0.106,FT3,1,KG,3510,,0,PAL,1001284547,3,7/31/2020
0001,916,8400431312,ST08101CVR,DEMI GROW CAVIAR W/RC&AD,1,,8.082,FT3,20.800,KG,3510,,0,PAL,1001284548,3,7/22/2020
0001,916,8400431312,SY-01-001,MIXX SERIES CHILD TRAY,1,,0.225,FT3,0.036,KG,3510,,0,PAL,1001284549,3,7/31/2020
0001,916,8400431312,TC04512GRN,SENA AIRE GRANITE W/SHEET,1,,3.708,FT3,14.720,KG,3510,,0,PAL,1001284550,3,7/15/2020
0001,916,8400431313,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,1,,0.106,FT3,1,KG,3510,,0,PAL,1001284551,3,7/31/2020
0001,916,8400431313,ST08101CVR,DEMI GROW CAVIAR W/RC&AD,1,,8.082,FT3,20.800,KG,3510,,0,PAL,1001284552,3,7/22/2020
0001,916,8400431316,CF03501CVR,PIPA CAVIAR W/BASE,2,,12.078,FT3,28.400,KG,3510,,0,PAL,1001284553,3,7/28/2020
0001,916,8400431316,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,2,,11.230,FT3,27.680,KG,3510,,0,PAL,1001284554,3,8/20/2020
0001,916,8400431316,CS05103CVR,RAVA CAVIAR,8,,56.784,FT3,130.240,KG,3510,,0,PAL,1001284555,3,9/25/2020
0001,916,8400431316,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,2,,0.212,FT3,2,KG,3510,,0,PAL,1001284556,3,7/31/2020
0001,916,8400431316,SE10302IRN,LEAF GROW IRON W/TY,1,,4.297,FT3,10.120,KG,3510,,0,PAL,1001284557,3,7/10/2020
0001,916,8400431316,ST13410CVR,MIXX NEXT CAVIAR W/RING ADAPTER,1,,6.386,FT3,18.540,KG,3510,,0,PAL,1001284558,3,7/31/2020
0001,916,8400431316,SY-01-001,MIXX SERIES CHILD TRAY,1,,0.225,FT3,0.036,KG,3510,,0,PAL,1001284559,3,7/31/2020
0001,916,8400431318,SY-01-001,MIXX SERIES CHILD TRAY,1,,0.225,FT3,0.036,KG,3510,,0,PAL,1001284560,3,7/31/2020
0001,916,8400431319,CF03501CVR,PIPA CAVIAR W/BASE,5,,30.195,FT3,71,KG,3510,,0,PAL,1001284561,3,7/28/2020
0001,916,8400431319,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,2,,11.230,FT3,27.680,KG,3510,,0,PAL,1001284562,3,8/20/2020
0001,916,8400431319,CS05103CVR,RAVA CAVIAR,5,,35.490,FT3,81.400,KG,3510,,0,PAL,1001284563,3,9/25/2020
0001,916,8400431319,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,1,,0.106,FT3,1,KG,3510,,0,PAL,1001284564,3,7/31/2020
0001,916,8400431319,SE10302IRN,LEAF GROW IRON W/TY,1,,4.297,FT3,10.120,KG,3510,,0,PAL,1001284565,3,7/10/2020
0001,916,8400431319,ST13410CVR,MIXX NEXT CAVIAR W/RING ADAPTER,3,,19.158,FT3,55.620,KG,3510,,0,PAL,1001284566,3,7/31/2020
0001,916,8400431319,SY-01-001,MIXX SERIES CHILD TRAY,1,,0.225,FT3,0.036,KG,3510,,0,PAL,1001284567,3,7/31/2020
0001,916,8400431319,TC04512GRN,SENA AIRE GRANITE W/SHEET,1,,3.708,FT3,14.720,KG,3510,,0,PAL,1001284568,3,7/15/2020
0001,916,8400431320,CS05103CVR,RAVA CAVIAR,1,,7.098,FT3,16.280,KG,3510,,0,PAL,1001284569,3,9/25/2020
0001,916,8400431328,CF03501CVR,PIPA CAVIAR W/BASE,1,,6.039,FT3,14.200,KG,3510,,0,PAL,1001284570,3,7/28/2020
0001,916,8400431328,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,2,,11.230,FT3,27.680,KG,3510,,0,PAL,1001284571,3,8/20/2020
0001,916,8400431328,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,1,,0.106,FT3,1,KG,3510,,0,PAL,1001284572,3,7/31/2020
0001,916,8400431328,SE10302IRN,LEAF GROW IRON W/TY,1,,4.297,FT3,10.120,KG,3510,,0,PAL,1001284573,3,7/10/2020
0001,916,8400431334,CS05103CVR,RAVA CAVIAR,2,,14.196,FT3,32.560,KG,3510,,0,PAL,1001284574,3,9/25/2020
0001,916,8400431334,HD14700ACS,MIXX AND DEMI GROW CUPHOLDER,3,,0.318,FT3,3,KG,3510,,0,PAL,1001284575,3,7/31/2020
0001,916,8400431334,ST13410CVR,MIXX NEXT CAVIAR W/RING ADAPTER,1,,6.386,FT3,18.540,KG,3510,,0,PAL,1001284576,3,7/31/2020
0001,916,8400431334,TC04512GRN,SENA AIRE GRANITE W/SHEET,1,,3.708,FT3,14.720,KG,3510,,0,PAL,1001284577,3,7/15/2020
0001,916,8400431338,CF08501CVR,PIPA LITE LX CAVIAR W/BASE&2ND INSERT,1,,5.615,FT3,13.840,KG,3510,,0,PAL,1001284578,3,8/20/2020
